Full Name,total_points,points_per_game_rank,points_per_game,now_cost,minutes,starts_per_90,element_type,ROI,team_code,FPL_metric
Rodrigo Hernandez,108,161,3.0,5.5,2911,1.05,3.0,0.5454545454545454,43,58.90909090909091
Bruno Guimarães Rodriguez Moura,107,123,3.3,6.0,2727,1.06,3.0,0.5499999999999999,4,58.849999999999994
Kenny Tete,90,167,2.9,4.5,2569,1.02,2.0,0.6444444444444444,54,57.99999999999999
Lucas Tolentino Coelho de Lima,98,109,3.5,6.0,2154,1.13,3.0,0.5833333333333334,21,57.16666666666667
Antonee Robinson,93,195,2.7,4.5,3088,1.02,2.0,0.6000000000000001,54,55.80000000000001
Leon Bailey,100,152,3.0,5.5,1964,1.19,3.0,0.5454545454545454,7,54.54545454545454
Jefferson Lerma Solís,101,197,2.7,5.0,3252,1.02,3.0,0.54,91,54.540000000000006
Tyrick Mitchell,93,203,2.6,4.5,2889,1.06,2.0,0.5777777777777778,31,53.73333333333334
Raheem Sterling,101,98,3.6,7.0,1886,1.1,3.0,0.5142857142857143,8,51.94285714285715
Jordan Ayew,104,200,2.7,5.5,2708,1.03,3.0,0.49090909090909096,31,51.05454545454546
Rodrigo Bentancur,71,65,3.9,5.5,1501,1.02,3.0,0.7090909090909091,6,50.345454545454544
Craig Dawson,75,156,3.0,4.5,2134,1.05,2.0,0.6666666666666666,39,50.0
Raphaël Varane,77,134,3.2,5.0,1912,1.04,2.0,0.64,1,49.28
Carlos Henrique Casimiro,87,144,3.1,5.5,2122,1.02,3.0,0.5636363636363636,1,49.03636363636363
Lisandro Martínez,81,154,3.0,5.0,2113,1.02,2.0,0.6,1,48.6
Daniel Castelo Podence,92,174,2.9,5.5,1760,1.02,3.0,0.5272727272727272,39,48.50909090909091
Adam Webster,75,184,2.8,4.5,1983,1.04,2.0,0.6222222222222222,36,46.666666666666664
Jeffrey Schlupp,89,209,2.6,5.0,2528,1.07,3.0,0.52,31,46.28
Darwin Núñez Ribeiro,100,120,3.4,7.5,1684,1.02,4.0,0.4533333333333333,14,45.33333333333333
Serge Aurier,70,164,2.9,4.5,1943,1.02,2.0,0.6444444444444444,17,45.11111111111111
Thomas Partey,86,210,2.6,5.0,2480,1.02,3.0,0.52,3,44.72
Joachim Andersen,80,228,2.5,4.5,2782,1.04,2.0,0.5555555555555556,31,44.44444444444444
Danny Welbeck,91,177,2.9,6.0,1844,1.02,4.0,0.48333333333333334,36,43.983333333333334
Christian Nørgaard,71,136,3.2,5.5,1763,1.07,3.0,0.5818181818181819,94,41.30909090909091
Bobby De Cordova-Reid,90,232,2.5,5.5,2473,1.06,3.0,0.45454545454545453,54,40.90909090909091
Youri Tielemans,86,190,2.8,6.0,2341,1.04,3.0,0.4666666666666666,13,40.133333333333326
João Palhinha Gonçalves,83,246,2.4,5.0,3108,1.01,3.0,0.48,54,39.839999999999996
Mason Mount,82,119,3.4,7.0,1644,1.09,3.0,0.4857142857142857,8,39.82857142857143
Kai Havertz,102,178,2.9,7.5,2565,1.05,3.0,0.38666666666666666,8,39.44
Antony Matheus dos Santos,82,126,3.3,7.0,1803,1.15,3.0,0.4714285714285714,1,38.65714285714286
Matheus Luiz Nunes,80,245,2.4,5.0,2467,1.09,3.0,0.48,39,38.4
Seamus Coleman,63,194,2.7,4.5,1654,1.09,2.0,0.6000000000000001,11,37.800000000000004
Thilo Kehrer,67,226,2.5,4.5,2229,1.01,2.0,0.5555555555555556,21,37.22222222222222
Vitalii Mykolenko,75,269,2.2,4.5,2653,1.02,2.0,0.48888888888888893,11,36.66666666666667
Jorge Luiz Frello Filho,79,233,2.5,5.5,2127,1.02,3.0,0.45454545454545453,3,35.90909090909091
Kyle Walker,69,208,2.6,5.0,1953,1.01,2.0,0.52,43,35.88
Amadou Onana,77,259,2.3,5.0,2486,1.05,3.0,0.45999999999999996,11,35.419999999999995
Marc Cucurella Saseta,65,198,2.7,5.0,1669,1.13,2.0,0.54,8,35.1
Michail Antonio,84,234,2.5,6.0,1822,1.04,4.0,0.4166666666666667,21,35.0
Nélson Cabral Semedo,75,297,2.1,4.5,2633,1.06,2.0,0.4666666666666667,39,35.0
Lloyd Kelly,60,202,2.6,4.5,2040,1.01,2.0,0.5777777777777778,91,34.66666666666667
Odsonne Edouard,82,262,2.3,5.5,1788,1.01,4.0,0.41818181818181815,31,34.29090909090909
Marcos Senesi,69,273,2.2,4.5,2489,1.05,2.0,0.48888888888888893,91,33.733333333333334
Aaron Hickey,63,248,2.4,4.5,1918,1.08,2.0,0.5333333333333333,94,33.6
Adam Smith,74,311,2.0,4.5,2940,1.04,2.0,0.4444444444444444,91,32.888888888888886
Cheick Doucouré,74,280,2.2,5.0,2770,1.1,3.0,0.44000000000000006,31,32.56
Fabio Henrique Tavares,70,343,1.9,5.0,2666,1.05,3.0,0.38,14,26.6
Idrissa Gueye,66,324,2.0,5.0,2577,1.12,3.0,0.4,11,26.400000000000002
Ryan Christie,64,332,2.0,5.0,1825,1.08,3.0,0.4,91,25.6
Harvey Elliott,62,338,1.9,5.0,1600,1.01,3.0,0.38,14,23.56
Conor Gallagher,66,346,1.9,5.5,1608,1.01,3.0,0.34545454545454546,8,22.8
Trevoh Chalobah,49,317,2.0,4.5,1601,1.01,2.0,0.4444444444444444,8,21.777777777777775
Ryan Yates,53,329,2.0,5.0,1833,1.03,3.0,0.4,17,21.200000000000003
Nathaniel Clyne,44,318,2.0,4.5,1638,1.04,2.0,0.4444444444444444,31,19.555555555555554
Enzo Fernández,42,263,2.3,5.0,1547,1.05,3.0,0.45999999999999996,8,19.32
Orel Mangala,50,340,1.9,5.0,1543,1.17,3.0,0.38,17,19.0
Scott McKenna,40,316,2.0,4.5,1570,1.09,2.0,0.4444444444444444,17,17.77777777777778
Boubacar Kamara,44,360,1.8,5.0,1773,1.07,3.0,0.36,7,15.84
